,ProofType,Algorithm,CoinName,PC 1,PC 2,PC 3,class
SEM,DPoS,Semux BFT consensus,Semux,4.079239690798887,1.8126024488479808,-0.7775370171038043,0
FTO,PoW,X11,FuturoCoin,-0.20866944448436162,-0.9161742691769558,-0.009871908916961884,1
CARE,PoW/PoS,Quark,Carebit,-0.39499846601302463,1.6031375510576304,-0.11943223618514771,0
NZL,PoS,PoS,Zealium,-0.32727023685689116,1.376506356817852,-0.13119202842915478,0
XMC,PoW,CryptoNight,Monero Classic,0.30264332986998466,-2.347603257004835,0.13429401560253937,1
PROTON,PoS,X16R,Proton,-0.3027556378878189,0.5780776628579587,-0.007373020172525721,0
DEAL,PoW/PoS,Scrypt,iDealCash,-0.27114923215356496,1.1338717848133644,-0.16253103506784727,0
JUMP,PoW,NIST5,Jumpcoin,-0.19103089133384796,-0.6365713121274762,-0.008270785407450456,1
INFX,PoW,Lyra2RE,Infinex,-0.13401622510544503,-2.2757013365146443,0.10104932378743338,1
XBI,PoS/PoW,XEVAN,Bitcoin Incognito,-0.0953623673042464,1.0368220818363598,-0.08074616559095807,0
KEC,PoW,Tribus,KEYCO,-0.2221575665801008,-1.2475850733531315,0.08960484552978563,1
HWC,PoS,Scrypt,HollyWoodCoin,-0.2788442094247298,0.7977887840610429,-0.08579062475008052,0
GIN,PoW,Lyra2Z,GINcoin,-0.0842535144994538,-1.9162801644755392,0.08174650919771503,1
PAR,PoS,Scrypt,Parlay,-0.2792595885201604,0.7977716241310027,-0.08578084572195749,0
LTCC,PoW/PoS,Scrypt,Listerclassic Coin,-0.32589285342729635,1.1355508000097156,-0.1619419481149046,0
PLTC,PoW,CryptoNight,PlatinCoin,0.30672928325224386,-2.347876205034922,0.13427626141750776,1
KNG,PoS,X11,BetKings,-0.3274795274512364,0.9578399219874184,-0.10758110088934929,0
COG,PoW/PoS,SHA-256D,Cognitio,-0.3546342031238548,1.992999688063842,-0.25278045468358734,0
LOKI,PoW,CryptoNight Heavy,Loki,0.6192367104762124,-2.279462453257574,0.09315550176602494,1
NCP,PoW,CryptoNight,Newton Coin,2.1852132069355568,-2.4136137184000366,0.11550465978426691,1
MRN,PoW/PoS,Scrypt,Mercoin,-0.32574704168277585,1.1355629388522992,-0.1619464667194997,0
SIC,PoW/PoS,Scrypt,Swisscoin,-0.12165547894196636,1.1354109162447295,-0.16522716121279313,0
REL,PoS,X11,Reliance,-0.32713467338801155,0.957813495474398,-0.10758199743941453,0
XT3,PoS,Scrypt,Xt3ch,-0.2791073460711411,0.7977669108658825,-0.08578247618047562,0
MGD,PoW,Jump Consistent Hash,MassGrid,-0.11321231218471514,-2.227126334311982,0.06492001298854695,1
VIG,PoW/PoS,SHA-256D,TheVig,-0.35353706007128904,1.9929716915867135,-0.25279326472235364,0
PLURA,PoW,CryptoNight,PluraCoin,0.316812637131123,-2.3478132857822533,0.13410166931135126,1
EMAR,PoW/PoS,Scrypt,EmaratCoin,-0.3259125574341723,1.13556861751792,-0.16194479256476177,0
DKD,PoS,X15,Dekado,-0.18816937723040875,1.6354203656102901,-0.09808252399532612,0
LYNX,HPoW,Scrypt,Lynx,2.372237715072755,0.4113735292363284,-0.024981143164147367,0
POSQ,PoS,Quark,Poseidon Quark,-0.34614736850148436,1.2650577590013399,-0.04325369862480245,0
YCE,PoW/PoS,Scrypt,MYCE,-0.3241532133580702,1.1355111527889374,-0.1619631022489009,0
ARO,PoW,SHA-512,Arionum,-0.21074231138543226,-0.8841203782296478,0.06375246013489363,1
BWS,PoS,SHA-256,BitcoinWSpectrum,-0.2621424737131253,0.5367463802572184,-0.04060053716179294,0
MUSE,PoS,DPoS,Muse,1.0574600555473923,1.572569900795215,-0.33604156717640904,0
XMN,PoW,X16R,Motion,-0.1850049377849579,-1.2958913832138057,0.09034532484599225,1
PLUS1,PoW,HMQ1725,PlusOneCoin,-0.14490495780758278,-2.3058159643038545,0.11770325364345509,1
AXE,PoW,X11,Axe,-0.20959351762838105,-0.9161499125308835,-0.00986125749076794,1
GMCN,PoS,Scrypt,GambleCoin,-0.2793089966608887,0.7977801657142662,-0.08578156166789956,0
TRVC,PoW/PoS,X16R,Trivechain,-0.34934264121906733,0.9158886345273164,-0.08354051818499812,0
DTEM,PoS,Quark,Dystem,-0.35073020111511566,1.2653473043766947,-0.04323083870546408,0
GIC,PoW/PoS,Quark,Giant,-0.39814002451521047,1.6031679068391085,-0.11938671147232285,0
PNY,PoS,Scrypt,Peony Coin,-0.1550371196142969,0.7900652633989326,-0.0864257144753267,0
ABS,PoW/PoS,Lyra2REv2,Absolute Coin,-0.35849241179369173,0.7117846106461055,-0.0956380647360234,0
VITAE,PoS,Quark,Vitae,-0.3493964162340236,1.265337066739564,-0.04325063734419957,0
